Feature,Coefficient,P>|t|,Culture,Character_Pair
focusfuture,0.011776638858064552,0.0001484478847088053,Iran,Daughter and Father
home,0.009605535424492611,0.0010277304290104102,Iran,Daughter and Father
relig,-0.005146333996515333,0.042731191582580375,Iran,Daughter and Father
money,-0.006475891083781509,0.005910922042185994,Iran,Daughter and Father
work,-0.006673652929634272,0.02021705327125702,Iran,Daughter and Father
anger,-0.007722560782572348,0.012230885643493129,Iran,Daughter and Father
focuspast,-0.008104190361206971,0.0063957107494051445,Iran,Daughter and Father
quant,-0.008772451376088362,0.0013108370573924018,Iran,Daughter and Father
anx,-0.011527732256324695,0.001007959924917187,Iran,Daughter and Father
discrep,-0.013958208661978248,0.0004468250214708395,Iran,Daughter and Father
tentat,-0.01403992528991465,3.2698588374246823e-06,Iran,Daughter and Father
article,-0.01691573348504285,0.00022116550874300362,Iran,Daughter and Father
reward,-0.01715125263804304,0.0042441380060262565,Iran,Daughter and Father
prep,-0.018217222542289052,7.714356860538763e-05,Iran,Daughter and Father
conj,-0.018235840267007603,1.231275095287981e-07,Iran,Daughter and Father
auxverb,-0.019990157441993978,0.00040992322920194163,Iran,Daughter and Father
focuspresent,-0.020512075456593067,0.004349931687691878,Iran,Daughter and Father
adverb,-0.021128486237982913,1.8941373070865089e-13,Iran,Daughter and Father
insight,-0.024003226702317092,0.0002995323176559216,Iran,Daughter and Father
negate,-0.031335681259385254,5.730862813551623e-13,Iran,Daughter and Father
male,-0.056713165490193784,1.6480024366631567e-13,Iran,Daughter and Father
female,-0.07262689233260546,5.0999594605066577e-14,Iran,Daughter and Father
family,-0.08488268364332784,7.287395676369189e-19,Iran,Daughter and Father
const,0.12500000000000014,0.0,Iran,Daughter and Mother
female,0.11882586488302413,4.308865773968555e-34,Iran,Daughter and Mother
posemo,0.10664799813575547,1.0416731959565e-05,Iran,Daughter and Mother
percept,0.05962431275757189,0.02019021367775997,Iran,Daughter and Mother
friend,0.04856101047854022,4.9656347733738564e-15,Iran,Daughter and Mother
cogproc,0.035861746140028884,0.0025051165441472563,Iran,Daughter and Mother
negemo,0.03366314214682616,0.0011629630169099567,Iran,Daughter and Mother
verb,0.03279131270470403,0.0007272946757609889,Iran,Daughter and Mother
conj,0.013167074102319976,0.00015734068856208765,Iran,Daughter and Mother
interrog,0.011617791329932571,9.291217443298565e-05,Iran,Daughter and Mother
netspeak,0.007123354354217258,0.006877768388055885,Iran,Daughter and Mother
relig,0.006043615754793234,0.018548495271733877,Iran,Daughter and Mother
focuspast,0.00592688987292181,0.04846650254690334,Iran,Daughter and Mother
tentat,-0.009729525622710712,0.0014175488522746656,Iran,Daughter and Mother
discrep,-0.014389815031804181,0.0003421178751538998,Iran,Daughter and Mother
negate,-0.017646900761584584,5.876207101376296e-05,Iran,Daughter and Mother
feel,-0.023598201013782082,0.03111903885500885,Iran,Daughter and Mother
family,-0.026612545640596733,0.005878767805347285,Iran,Daughter and Mother
insight,-0.02880449000632298,1.763867581645224e-05,Iran,Daughter and Mother
focuspresent,-0.029744373562634614,4.295448056133859e-05,Iran,Daughter and Mother
male,-0.038998098816575975,5.17690082921175e-07,Iran,Daughter and Mother
see,-0.04048326643768372,0.003027222964747719,Iran,Daughter and Mother
hear,-0.0545865809962729,0.003501675350357019,Iran,Daughter and Mother
affect,-0.09489370780756147,7.180261023798987e-05,Iran,Daughter and Mother
const,0.125,0.0,Iran,Father and Daughter
relativ,0.049114445250212635,0.025224935470655453,Iran,Father and Daughter
social,0.029719803059320586,0.0014978167481091175,Iran,Father and Daughter
negate,0.02846501324795396,1.2255772959822365e-10,Iran,Father and Daughter
drives,0.02840565864310617,0.04667098872727477,Iran,Father and Daughter
informal,0.025095079147437666,0.04161420533522822,Iran,Father and Daughter
anx,0.013686865879405447,0.00012425261006344672,Iran,Father and Daughter
